PdfType: replica
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
908 909 
-2.50840E+02 -2.90193E+01 
-2.98962E+02 -3.27000E+01 
-3.51695E+02 -3.58235E+01 
-4.09330E+02 -3.81852E+01 
-4.72285E+02 -3.95618E+01 
-5.41497E+02 -3.97270E+01 
-6.19918E+02 -3.84988E+01 
-7.17637E+02 -3.58225E+01 
-8.62490E+02 -3.16030E+01 
-1.09208E+03 -2.43255E+01 
-1.38574E+03 -1.00651E+01 
-1.65973E+03 1.34442E+01 
2.18807E+01 7.25043E+00 
1.67447E+01 6.22359E+00 
2.10373E+01 1.08045E+01 
1.03325E+01 8.61956E+00 
-1.70806E+00 6.16721E+00 
-1.52242E+01 3.46449E+00 
-3.03616E+01 5.36733E-01 
-4.32805E+01 -1.86141E+00 
-4.72680E+01 -2.58140E+00 
-6.76510E+01 -6.10578E+00 
-9.04505E+01 -9.73154E+00 
-1.15850E+02 -1.33765E+01 
-1.44024E+02 -1.69445E+01 
-1.68134E+02 -1.75531E+01 
-2.03365E+02 -2.04034E+01 
-2.41995E+02 -2.28674E+01 
-2.84210E+02 -2.47906E+01 
-3.30209E+02 -2.59993E+01 
-3.80289E+02 -2.63036E+01 
-4.35155E+02 -2.55053E+01 
-4.97117E+02 -2.34165E+01 
-5.74159E+02 -1.98575E+01 
-6.88326E+02 -1.43716E+01 
-8.69177E+02 -5.19860E+00 
-1.09971E+03 1.05949E+01 
-1.31318E+03 3.36900E+01 
1.79594E+01 6.25859E+00 
1.37892E+01 5.41481E+00 
1.75681E+01 9.51101E+00 
8.83440E+00 7.75514E+00 
-9.95595E-01 5.79287E+00 
-1.20325E+01 3.64277E+00 
-2.43901E+01 1.33045E+00 
-3.49306E+01 -5.49188E-01 
-3.81825E+01 -1.11079E+00 
-5.47926E+01 -3.84006E+00 
-7.33429E+01 -6.60935E+00 
-9.39680E+01 -9.34577E+00 
-1.16794E+02 -1.19653E+01 
-1.35991E+02 -1.21428E+01 
-1.64292E+02 -1.40812E+01 
-1.95239E+02 -1.56409E+01 
-2.28957E+02 -1.66908E+01 
-2.65575E+02 -1.70847E+01 
-3.05301E+02 -1.66626E+01 
-3.48660E+02 -1.52533E+01 
-3.97452E+02 -1.26734E+01 
-4.57971E+02 -8.66960E+00 
-5.47615E+02 -2.56804E+00 
-6.89531E+02 7.48033E+00 
-8.69775E+02 2.36412E+01 
-1.03531E+03 4.55282E+01 
1.49655E+01 5.18849E+00 
1.15764E+01 4.49685E+00 
1.49137E+01 8.15424E+00 
7.78868E+00 6.74795E+00 
-2.35233E-01 5.18418E+00 
-9.24469E+00 3.48202E+00 
-1.93279E+01 1.66637E+00 
-2.79221E+01 2.03168E-01 
-3.05721E+01 -2.31601E-01 
-4.40952E+01 -2.32708E+00 
-5.91707E+01 -4.41934E+00 
-7.58956E+01 -6.44457E+00 
-9.43582E+01 -8.33037E+00 
-1.09601E+02 -8.21294E+00 
-1.32289E+02 -9.47111E+00 
-1.57025E+02 -1.03697E+01 
-1.83888E+02 -1.07986E+01 
-2.12959E+02 -1.06356E+01 
-2.44374E+02 -9.74709E+00 
-2.78523E+02 -7.98704E+00 
-3.16800E+02 -5.18294E+00 
-3.64151E+02 -1.04463E+00 
-4.34252E+02 5.21537E+00 
