PdfType: replica
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
908 909 
-2.48974E+02 -2.48393E+01 
-2.96937E+02 -2.82603E+01 
-3.49501E+02 -3.11030E+01 
-4.06957E+02 -3.31619E+01 
-4.69722E+02 -3.42124E+01 
-5.38732E+02 -3.40277E+01 
-6.16940E+02 -3.24281E+01 
-7.14440E+02 -2.93722E+01 
-8.59090E+02 -2.48045E+01 
-1.08851E+03 -1.72624E+01 
-1.38204E+03 -2.78415E+00 
-1.65585E+03 2.10174E+01 
2.25281E+01 9.12863E+00 
1.74662E+01 8.18215E+00 
2.18335E+01 1.28514E+01 
1.12051E+01 1.07643E+01 
-7.57323E-01 8.41710E+00 
-1.41935E+01 5.82729E+00 
-2.92487E+01 3.02084E+00 
-4.21023E+01 7.22708E-01 
-4.60705E+01 3.30233E-02 
-6.63590E+01 -3.34002E+00 
-8.90603E+01 -6.80240E+00 
-1.14357E+02 -1.02712E+01 
-1.42424E+02 -1.36491E+01 
-1.66415E+02 -1.40466E+01 
-2.01518E+02 -1.66677E+01 
-2.40013E+02 -1.88847E+01 
-2.82082E+02 -2.05418E+01 
-3.27927E+02 -2.14643E+01 
-3.77841E+02 -2.14613E+01 
-4.32531E+02 -2.03342E+01 
-4.94306E+02 -1.78973E+01 
-5.71157E+02 -1.39831E+01 
-6.85144E+02 -8.17115E+00 
-8.65854E+02 1.25077E+00 
-1.09627E+03 1.72495E+01 
-1.30958E+03 4.06167E+01 
1.86887E+01 7.88160E+00 
1.45773E+01 7.11698E+00 
1.84161E+01 1.12998E+01 
9.74422E+00 9.63939E+00 
-2.22882E-02 7.77941E+00 
-1.09938E+01 5.73891E+00 
-2.32837E+01 3.54402E+00 
-3.37702E+01 1.76096E+00 
-3.70061E+01 1.22858E+00 
-5.35374E+01 -1.35503E+00 
-7.20051E+01 -3.96754E+00 
-9.25435E+01 -6.53536E+00 
-1.15278E+02 -8.97373E+00 
-1.34372E+02 -8.95119E+00 
-1.62562E+02 -1.06732E+01 
-1.93391E+02 -1.20002E+01 
-2.26980E+02 -1.28002E+01 
-2.63462E+02 -1.29260E+01 
-3.03041E+02 -1.22167E+01 
-3.46243E+02 -1.05009E+01 
-3.94867E+02 -7.59734E+00 
-4.55214E+02 -3.26390E+00 
-5.44696E+02 3.13969E+00 
-6.86485E+02 1.34183E+01 
-8.66621E+02 2.97682E+01 
-1.03201E+03 5.19049E+01 
1.56753E+01 6.65132E+00 
1.23343E+01 6.03630E+00 
1.57212E+01 9.77719E+00 
8.64774E+00 8.46257E+00 
6.77190E-01 6.99683E+00 
-8.27695E+00 5.39947E+00 
-1.83026E+01 3.69586E+00 
-2.68505E+01 2.32464E+00 
-2.94867E+01 1.91767E+00 
-4.29419E+01 -3.94439E-02 
-5.79456E+01 -1.98315E+00 
-7.45946E+01 -3.84899E+00 
-9.29765E+01 -5.56392E+00 
-1.08128E+02 -5.25888E+00 
-1.30716E+02 -6.31465E+00 
-1.55347E+02 -6.99610E+00 
-1.82095E+02 -7.19220E+00 
-2.11042E+02 -6.78005E+00 
-2.42324E+02 -5.62531E+00 
-2.76330E+02 -3.58165E+00 
-3.14454E+02 -4.78717E-01 
-3.61647E+02 3.96324E+00 
-4.31601E+02 1.05005E+01 
-5.42387E+02 2.09233E+01 
-6.82585E+02 3.68344E+01 
-8.10149E+02 5.72569E+01 
1.32351E+01 5.51944E+00 
1.05194E+01 5.02694E+00 
1.35184E+01 8.36565E+00 
7.75139E+00 7.33007E+00 
1.25027E+00 6.18185E+00 
-6.05216E+00 4.94015E+00 
-1.42233E+01 3.62892E+00 
-2.11835E+01 2.58488E+00 
-2.33286E+01 2.27720E+00 
-3.42655E+01 8.13558E-01 
-4.64359E+01 -6.08353E-01 
-5.99076E+01 -1.93277E+00 
-7.47397E+01 -3.09738E+00 
-8.67214E+01 -2.61434E+00 
-1.04778E+02 -3.18585E+00 
-1.24404E+02 -3.41086E+00 
-1.45642E+02 -3.19673E+00 
-1.68536E+02 -2.44167E+00 
-1.93173E+02 -1.03449E+00 
-2.19836E+02 1.14828E+00 
-2.49599E+02 4.26230E+00 
-2.86338E+02 8.59950E+00 
-3.40777E+02 1.49593E+01 
-4.26942E+02 2.50465E+01 
-5.35523E+02 4.00098E+01 
-6.33340E+02 5.84608E+01 
1.12078E+01 4.52571E+00 
9.00047E+00 4.13258E+00 
1.16644E+01 7.10576E+00 
6.96597E+00 6.29381E+00 
1.66783E+00 5.39952E+00 
-4.28166E+00 4.44116E+00 
-1.09335E+01 3.44085E+00 
-1.65932E+01 2.65453E+00 
-1.83362E+01 2.42476E+00 
-2.72119E+01 1.34616E+00 
-3.70660E+01 3.26975E-01 
-4.79442E+01 -5.85062E-01 
-5.98840E+01 -1.33734E+00 
-6.93231E+01 -7.54611E-01 
-8.37187E+01 -9.82918E-01 
-9.93106E+01 -8.96407E-01 
-1.16119E+02 -4.18407E-01 
-1.34161E+02 5.34709E-01 
-1.53488E+02 2.05413E+00 
-1.74303E+02 4.24295E+00 
-1.97429E+02 7.24023E+00 
-2.25886E+02 1.13329E+01 
-2.68037E+02 1.73133E+01 
-3.34718E+02 2.67579E+01 
-4.18356E+02 4.04703E+01 
-4.92872E+02 5.68533E+01 
9.49394E+00 3.68057E+00 
7.70088E+00 3.36705E+00 
1.00730E+01 6.00894E+00 
6.24915E+00 5.37461E+00 
1.93633E+00 4.68164E+00 
-2.90463E+00 3.94699E+00 
-8.31169E+00 3.19077E+00 
-1.29064E+01 2.60546E+00 
-1.43202E+01 2.43620E+00 
-2.15097E+01 1.65468E+00 
-2.94714E+01 9.42356E-01 
-3.82345E+01 3.39665E-01 
-4.78207E+01 -1.09406E-01 
-5.52248E+01 5.15586E-01 
-6.66676E+01 5.22302E-01 
-7.90147E+01 8.10693E-01 
-9.22695E+01 1.44369E+00 
-1.06433E+02 2.48940E+00 
-1.21529E+02 4.02193E+00 
-1.37699E+02 6.12645E+00 
-1.55572E+02 8.92488E+00 
-1.77491E+02 1.26878E+01 
-2.09947E+02 1.81681E+01 
-2.61262E+02 2.67892E+01 
-3.25298E+02 3.90965E+01 
-3.81643E+02 5.34262E+01 
8.03149E+00 2.97662E+00 
6.57649E+00 2.72600E+00 
8.69262E+00 5.06852E+00 
5.58482E+00 4.57392E+00 
2.07920E+00 4.03900E+00 
-1.85350E+00 3.47928E+00 
-6.24099E+00 2.91267E+00 
-9.96392E+00 2.48237E+00 
-1.11083E+01 2.35955E+00 
-1.69193E+01 1.80433E+00 
-2.33365E+01 1.32235E+00 
-3.03770E+01 9.47503E-01 
-3.80510E+01 7.16233E-01 
-4.38307E+01 1.34253E+00 
-5.28967E+01 1.50246E+00 
-6.26394E+01 1.91114E+00 
-7.30511E+01 2.61979E+00 
-8.41209E+01 3.68335E+00 
-9.58544E+01 5.16148E+00 
-1.08349E+02 7.12375E+00 
-1.22081E+02 9.67528E+00 
-1.38857E+02 1.30636E+01 
-1.63691E+02 1.79815E+01 
-2.02935E+02 2.56898E+01 
-2.51629E+02 3.65426E+01 
-2.93871E+02 4.89080E+01 
6.77993E+00 2.39740E+00 
5.60103E+00 2.19582E+00 
7.49122E+00 4.26855E+00 
4.96957E+00 3.88274E+00 
2.12503E+00 3.47066E+00 
-1.06384E+00 3.04624E+00 
-4.61678E+00 2.62527E+00 
-7.62668E+00 2.31302E+00 
-8.55090E+00 2.22536E+00 
-1.32362E+01 1.84001E+00 
-1.83947E+01 1.52787E+00 
-2.40344E+01 1.31709E+00 
-3.01577E+01 1.23757E+00 
-3.46450E+01 1.83714E+00 
-4.18023E+01 2.08946E+00 
-4.94599E+01 2.55895E+00 
-5.76031E+01 3.28693E+00 
-6.62135E+01 4.31730E+00 
-7.52848E+01 5.69754E+00 
